agreement_count_distribution,alpha,available_sources,candidate_count,candidate_indices,combined_f1,combined_fn,combined_fp,combined_precision,combined_recall,combined_tp,crossfit_method,dataset_name,exp55_best_p_min,exp56_best_p_min,exp84_p_min,experiment_id,family,hard_count,hard_cross_check_indices,hard_f1,hard_fn,hard_fp,hard_indices,hard_precision,hard_recall,hard_tp,low_train_review_only,mean_combined_f1_scope,minimum_attainable_p,n_test,n_train,priority_review_count,priority_review_f1,priority_review_fn,priority_review_fp,priority_review_indices,priority_review_precision,priority_review_recall,priority_review_tp,priority_rule_indices,prospective_validated,resolution_limited_at_alpha,retrospective_counterfactual,rocket_exp40_p_min,routing_uses_family_performance,routing_uses_test_labels,routing_uses_test_positions,source_count,standard_review_count,standard_review_f1,standard_review_fn,standard_review_fp,standard_review_indices,standard_review_precision,standard_review_recall,standard_review_tp,variant
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_1,0.058823529411764705,0.058823529411764705,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_10,0.058823529411764705,0.7647058823529411,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_11,0.11764705882352941,0.7647058823529411,0.11764705882352941,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,deterministic_5fold,Adiac_normal_12,0.047619047619047616,0.09523809523809523,0.047619047619047616,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.047619047619047616,50,20,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.047619047619047616,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_13,0.058823529411764705,0.5294117647058824,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_14,0.058823529411764705,0.11764705882352941,0.29411764705882354,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.17647058823529413,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_15,0.058823529411764705,0.058823529411764705,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_16,0.11764705882352941,0.29411764705882354,0.11764705882352941,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.11764705882352941,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_17,0.4117647058823529,0.058823529411764705,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_18,0.1111111111111111,0.7222222222222222,0.2222222222222222,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.05555555555555555,50,17,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.16666666666666666,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,deterministic_5fold,Adiac_normal_19,0.19047619047619047,0.6666666666666666,0.047619047619047616,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.047619047619047616,50,20,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.047619047619047616,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_2,0.3157894736842105,0.05263157894736842,0.05263157894736842,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.05263157894736842,50,18,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.05263157894736842,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_20,0.058823529411764705,0.11764705882352941,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_21,0.17647058823529413,0.11764705882352941,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_22,0.17647058823529413,0.5882352941176471,0.35294117647058826,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.23529411764705882,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_23,0.058823529411764705,0.8823529411764706,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_24,0.05263157894736842,0.10526315789473684,0.05263157894736842,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.05263157894736842,50,18,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.05263157894736842,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,deterministic_5fold,Adiac_normal_25,0.08333333333333333,1.0,0.08333333333333333,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.041666666666666664,50,23,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.08333333333333333,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_26,0.17647058823529413,0.23529411764705882,0.11764705882352941,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.11764705882352941,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_27,0.11764705882352941,0.29411764705882354,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_28,0.17647058823529413,0.23529411764705882,0.17647058823529413,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_29,0.058823529411764705,0.058823529411764705,0.11764705882352941,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_3,0.11764705882352941,0.47058823529411764,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_30,0.29411764705882354,0.058823529411764705,0.11764705882352941,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_31,0.058823529411764705,0.058823529411764705,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_32,0.058823529411764705,0.29411764705882354,0.17647058823529413,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_33,0.058823529411764705,0.5882352941176471,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_34,0.058823529411764705,0.058823529411764705,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_35,0.058823529411764705,0.29411764705882354,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,deterministic_5fold,Adiac_normal_36,0.047619047619047616,0.047619047619047616,0.047619047619047616,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.047619047619047616,50,20,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.047619047619047616,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_37,0.058823529411764705,0.4117647058823529,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.17647058823529413,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_4,0.058823529411764705,0.17647058823529413,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_5,0.23529411764705882,0.11764705882352941,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.11764705882352941,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_6,0.4117647058823529,0.058823529411764705,0.058823529411764705,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,leave_one_out,Adiac_normal_7,0.058823529411764705,0.058823529411764705,0.11764705882352941,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.058823529411764705,50,16,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.058823529411764705,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,,0.0,1,0,0.0,0.0,0,deterministic_5fold,Adiac_normal_8,0.047619047619047616,0.7619047619047619,0.047619047619047616,experiment_150_virtual_run_conformal_policy,Adiac,0,,0.0,1,0,,0.0,0.0,0,0,human_assisted_diagnostic_only,0.047619047619047616,50,20,0,0.0,1,0,,0.0,0.0,0,,0,1,1,0.047619047619047616,0,0,0,4,0,0.0,1,0,,0.0,0.0,0,exp150_b2_source
