variant,alpha,datasets,hard_alerts,hard_tp,hard_fp,hard_precision,mean_hard_recall,mean_hard_f1,standard_review_candidates,standard_review_tp,standard_review_fp,standard_review_precision,priority_review_candidates,priority_review_tp,priority_review_fp,priority_review_precision,mean_combined_f1,candidate_mean,candidate_median,candidate_p90,candidate_p95,candidate_max,candidate_zero_datasets,n_train_lt5_datasets,resolution_limited_datasets,retrospective_counterfactual,mean_combined_f1_scope
exp149_current_source,0.005,1117,0,0,0,0.0,0.0,0.0,749,690,59,0.9212283044058746,0,0,0,0.0,0.045688992514896956,0.6705461056401074,0.0,0.0,4.0,75,1007,162,940,1,human_assisted_diagnostic_only
exp149_current_source,0.01,1117,0,0,0,0.0,0.0,0.0,1130,983,147,0.8699115044247787,0,0,0,0.0,0.07740056433853683,1.0116383169203222,0.0,2.0,6.0,80,962,162,865,1,human_assisted_diagnostic_only
exp149_current_source,0.02,1117,0,0,0,0.0,0.0,0.0,1755,1393,362,0.7937321937321937,0,0,0,0.0,0.188985950183596,1.5711727842435095,0.0,4.0,9.0,102,807,162,614,1,human_assisted_diagnostic_only
exp149_current_source,0.05,1117,0,0,0,0.0,0.0,0.0,2950,1853,1097,0.628135593220339,0,0,0,0.0,0.2631201102325995,2.641002685765443,0.0,7.0,14.0,170,663,162,471,1,human_assisted_diagnostic_only
exp150_b2_source,0.005,1117,0,0,0,0.0,0.0,0.0,965,893,72,0.9253886010362694,0,0,0,0.0,0.05757917910149911,0.8639212175470009,0.0,1.0,6.0,75,989,162,940,1,human_assisted_diagnostic_only
exp150_b2_source,0.01,1117,0,0,0,0.0,0.0,0.0,1414,1238,176,0.8755304101838756,0,0,0,0.0,0.09777013394638125,1.2658907788719784,0.0,3.0,8.0,80,932,162,865,1,human_assisted_diagnostic_only
exp150_b2_source,0.02,1117,0,0,0,0.0,0.0,0.0,2185,1751,434,0.8013729977116705,0,0,0,0.0,0.22610099658132016,1.9561324977618622,0.0,6.0,11.0,102,763,162,614,1,human_assisted_diagnostic_only
exp150_b2_source,0.05,1117,0,0,0,0.0,0.0,0.0,3581,2249,1332,0.628036861211952,0,0,0,0.0,0.31680799680850047,3.2059086839749327,0.0,9.0,16.0,170,595,162,471,1,human_assisted_diagnostic_only
