datasets,hard_alerts,hard_tp,hard_fp,hard_precision,mean_hard_recall,mean_hard_f1,standard_review_candidates,standard_review_tp,standard_review_fp,standard_review_precision,priority_review_candidates,priority_review_tp,priority_review_fp,priority_review_precision,mean_combined_f1,candidate_mean,candidate_median,candidate_p90,candidate_p95,candidate_max,candidate_zero_datasets,n_train_lt5_datasets,resolution_limited_datasets,retrospective_counterfactual,mean_combined_f1_scope,experiment_id,variant,alpha,scope
1117,0,0,0,0.0,0.0,0.0,749,690,59,0.9212283044058746,0,0,0,0.0,0.045688992514896956,0.6705461056401074,0.0,0.0,4.0,75,1007,162,940,1,human_assisted_diagnostic_only,experiment_149_virtual_run_conformal_policy,exp149_current_source,0.005,retrospective counterfactual virtual wafer-run benchmark
1117,0,0,0,0.0,0.0,0.0,1130,983,147,0.8699115044247787,0,0,0,0.0,0.07740056433853683,1.0116383169203222,0.0,2.0,6.0,80,962,162,865,1,human_assisted_diagnostic_only,experiment_149_virtual_run_conformal_policy,exp149_current_source,0.01,retrospective counterfactual virtual wafer-run benchmark
1117,0,0,0,0.0,0.0,0.0,1755,1393,362,0.7937321937321937,0,0,0,0.0,0.188985950183596,1.5711727842435095,0.0,4.0,9.0,102,807,162,614,1,human_assisted_diagnostic_only,experiment_149_virtual_run_conformal_policy,exp149_current_source,0.02,retrospective counterfactual virtual wafer-run benchmark
1117,0,0,0,0.0,0.0,0.0,2950,1853,1097,0.628135593220339,0,0,0,0.0,0.2631201102325995,2.641002685765443,0.0,7.0,14.0,170,663,162,471,1,human_assisted_diagnostic_only,experiment_149_virtual_run_conformal_policy,exp149_current_source,0.05,retrospective counterfactual virtual wafer-run benchmark
