abstained,agreement_count_distribution,alpha,available_sources,block_b_cap_target,block_b_count,block_b_indices,block_b_q_effective,block_b_reference_count,block_b_reference_seed_offset,block_b_test_score_max,block_b_threshold,block_b_train_exceed_count,block_b_train_exceed_rate,block_c_cap_target,block_c_count,block_c_indices,block_c_q_effective,block_c_reference_count,block_c_reference_seed_offset,block_c_test_score_max,calibration_status,candidate_count,candidate_indices,crossfit_method,dataset_name,exp55_best_p_min,exp56_best_p_min,exp84_p_min,experiment_id,family,hard_count,hard_indices,mean_combined_f1_scope,minimum_attainable_p_by_source,n_test,n_train,no_alert_count,priority_review_count,priority_review_indices,priority_review_posthoc_research_rule,prospective_validated,required_source_agreement,resolution_blocks_two_source_agreement,resolution_eligible_source_count,resolution_eligible_sources,retrospective_counterfactual,rocket_exp40_p_min,routing_uses_test_labels,routing_uses_test_length_for_policy,routing_uses_test_positions,source_count,standard_review_count,standard_review_indices,train_target_len,variant,hard_tp,hard_fp,hard_fn,hard_precision,hard_recall,hard_f1,standard_review_tp,standard_review_fp,standard_review_fn,standard_review_precision,standard_review_recall,standard_review_f1,priority_review_tp,priority_review_fp,priority_review_fn,priority_review_precision,priority_review_recall,priority_review_f1,combined_tp,combined_fp,combined_fn,combined_precision,combined_recall,combined_f1
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,1,49,0.0,16,0,13.017425262399689,10.849028626385541,0,0.0,0,2,2 49,0.0,16,0,10.41315513875874,calibrated,0,,leave_one_out,ACSF1_normal_0,0.058823529411764705,0.35294117647058826,0.058823529411764705,experiment_152_virtual_run_conformal_policy_v2,ACSF1,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.058823529411764705,0,0,0,4,0,,1460,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,1,49,0.0,16,0,4.439288541947993,2.2654265705872514,0,0.0,0,1,49,0.0,16,0,6.331628158631711,calibrated,0,,leave_one_out,ACSF1_normal_1,0.11764705882352941,0.17647058823529413,0.23529411764705882,experiment_152_virtual_run_conformal_policy_v2,ACSF1,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.058823529411764705,0,0,0,4,0,,1460,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,1,49,0.0,16,0,6.861748632075985,1.225670840436778,0,0.0,0,1,49,0.0,16,0,6.287661938849266,calibrated,0,,leave_one_out,ACSF1_normal_2,0.11764705882352941,0.7058823529411765,0.058823529411764705,experiment_152_virtual_run_conformal_policy_v2,ACSF1,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.058823529411764705,0,0,0,4,0,,1460,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,1,49,0.0,16,0,4.695018166337442,0.6497970396213377,0,0.0,0,1,49,0.0,16,0,3.8357471667207625,calibrated,0,,leave_one_out,ACSF1_normal_3,0.23529411764705882,0.11764705882352941,0.058823529411764705,experiment_152_virtual_run_conformal_policy_v2,ACSF1,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.058823529411764705,0,0,0,4,0,,1460,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,2,2 49,0.0,16,0,33.23719366505852,4.040405993491368,0,0.0,0,1,49,0.0,16,0,35.90008956282206,calibrated,0,,leave_one_out,ACSF1_normal_4,0.058823529411764705,0.058823529411764705,0.058823529411764705,experiment_152_virtual_run_conformal_policy_v2,ACSF1,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.058823529411764705,0,0,0,4,0,,1460,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,0,,0.0,16,0,69.60026732909243,203.67053526870959,0,0.0,0,0,,0.0,16,0,32.573389969717816,calibrated,0,,leave_one_out,ACSF1_normal_5,0.17647058823529413,0.6470588235294118,0.11764705882352941,experiment_152_virtual_run_conformal_policy_v2,ACSF1,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.17647058823529413,0,0,0,4,0,,1460,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,3,2 3 49,0.0,16,0,92.88790370480882,9.548199891515125,0,0.0,0,3,2 3 49,0.0,16,0,83.98801908479211,calibrated,0,,leave_one_out,ACSF1_normal_6,0.058823529411764705,0.058823529411764705,0.058823529411764705,experiment_152_virtual_run_conformal_policy_v2,ACSF1,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.058823529411764705,0,0,0,4,0,,1460,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,1,49,0.0,16,0,6.661747877883428,5.723755910642262,0,0.0,0,1,49,0.0,16,0,21.694911174487174,calibrated,0,,leave_one_out,ACSF1_normal_7,0.058823529411764705,0.23529411764705882,0.058823529411764705,experiment_152_virtual_run_conformal_policy_v2,ACSF1,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.058823529411764705,0,0,0,4,0,,1460,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,1,49,0.0,16,0,0.8755503811664372,0.7220972749335367,0,0.0,0,1,49,0.0,16,0,1.1280758054475226,calibrated,0,,leave_one_out,ACSF1_normal_8,0.058823529411764705,0.5294117647058824,0.11764705882352941,experiment_152_virtual_run_conformal_policy_v2,ACSF1,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.17647058823529413,0,0,0,4,0,,1460,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
0,"{""0"": 50, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0}",0.005,rocket_exp40 exp55_best exp56_best exp84,0,1,49,0.0,16,0,157.97312941332856,0.6401657926577061,0,0.0,0,1,49,0.0,16,0,158.70546721130512,calibrated,0,,leave_one_out,ACSF1_normal_9,0.11764705882352941,0.058823529411764705,0.058823529411764705,experiment_152_virtual_run_conformal_policy_v2,ACSF1,0,,human_assisted_diagnostic_only,"{""exp55_best"": 0.058823529411764705, ""exp56_best"": 0.058823529411764705, ""exp84"": 0.058823529411764705, ""rocket_exp40"": 0.058823529411764705}",50,16,50,0,,1,0,2,1,0,,1,0.058823529411764705,0,0,0,4,0,,1460,exp152_b2_source_v2,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
