datasets,hard_alerts,hard_tp,hard_fp,hard_precision,mean_hard_recall,mean_hard_f1,standard_review_candidates,standard_review_tp,standard_review_fp,standard_review_precision,priority_review_candidates,priority_review_tp,priority_review_fp,priority_review_precision,mean_combined_f1,mean_combined_f1_scope,candidate_mean,candidate_median,candidate_p90,candidate_p95,candidate_max,candidate_zero_datasets,abstained_datasets,resolution_blocked_datasets,retrospective_counterfactual,prospective_validated,experiment_id,variant,alpha,scope
1117,708,662,46,0.9350282485875706,0.035785292596217703,0.044733450675363245,29,19,10,0.6551724137931034,12,9,3,0.75,0.045688992514896956,human_assisted_diagnostic_only,0.6705461056401074,0.0,0.0,4.0,75,1007,162,940,1,0,experiment_151_virtual_run_conformal_policy_v2,exp151_current_source_v2,0.005,retrospective counterfactual virtual wafer-run benchmark
1117,1013,917,96,0.9052319842053307,0.06340558649899243,0.07457047030344638,86,44,42,0.5116279069767442,31,22,9,0.7096774193548387,0.07740056433853683,human_assisted_diagnostic_only,1.0116383169203222,0.0,2.0,6.0,80,962,162,865,1,0,experiment_151_virtual_run_conformal_policy_v2,exp151_current_source_v2,0.01,retrospective counterfactual virtual wafer-run benchmark
1117,1428,1222,206,0.8557422969187675,0.16987337240661082,0.1778942197991776,269,132,137,0.49070631970260226,55,36,19,0.6545454545454545,0.18732972816031937,human_assisted_diagnostic_only,1.5684870188003581,0.0,4.0,9.0,102,810,162,614,1,0,experiment_151_virtual_run_conformal_policy_v2,exp151_current_source_v2,0.02,retrospective counterfactual virtual wafer-run benchmark
1117,1815,1457,358,0.8027548209366391,0.23992746900892195,0.24181187130559317,1051,347,704,0.3301617507136061,83,48,35,0.5783132530120482,0.2628072522508704,human_assisted_diagnostic_only,2.640107430617726,0.0,7.0,14.0,170,666,162,471,1,0,experiment_151_virtual_run_conformal_policy_v2,exp151_current_source_v2,0.05,retrospective counterfactual virtual wafer-run benchmark
