dataset,test_length,hard_alert_count,hard_tp,hard_fp,hard_fn,hard_precision,hard_recall,hard_f1,standard_review_count,standard_review_tp,standard_review_fp,priority_review_count,priority_review_tp,priority_review_fp,combined_f1
AllGestureWiimoteY_normal_4,100,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,0,0.6666666666666666
AllGestureWiimoteY_normal_5,100,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,0,0.6666666666666666
AllGestureWiimoteY_normal_6,100,1,0,1,2,0.0,0.0,0.0,0,0,0,0,0,0,0.0
AllGestureWiimoteY_normal_7,100,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,0,0.6666666666666666
AllGestureWiimoteY_normal_8,100,2,2,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
AllGestureWiimoteY_normal_9,100,1,1,0,1,1.0,0.5,0.6666666666666666,1,1,0,0,0,0,1.0
AllGestureWiimoteZ_normal_1,100,0,0,0,2,0.0,0.0,0.0,1,0,1,0,0,0,0.0
AllGestureWiimoteZ_normal_10,100,1,1,0,1,1.0,0.5,0.6666666666666666,1,0,1,0,0,0,0.5
AllGestureWiimoteZ_normal_2,100,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,0,0.6666666666666666
AllGestureWiimoteZ_normal_3,100,0,0,0,2,0.0,0.0,0.0,1,1,0,0,0,0,0.6666666666666666
AllGestureWiimoteZ_normal_4,100,1,0,1,2,0.0,0.0,0.0,0,0,0,0,0,0,0.0
AllGestureWiimoteZ_normal_5,100,0,0,0,2,0.0,0.0,0.0,1,0,1,0,0,0,0.0
AllGestureWiimoteZ_normal_6,100,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,0,0.6666666666666666
AllGestureWiimoteZ_normal_7,100,2,1,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0.5
AllGestureWiimoteZ_normal_8,100,2,2,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
AllGestureWiimoteZ_normal_9,100,0,0,0,2,0.0,0.0,0.0,1,1,0,0,0,0,0.6666666666666666
ArrowHead_normal_0,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
ArrowHead_normal_1,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
ArrowHead_normal_2,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
BME_normal_1,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
BME_normal_2,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
BME_normal_3,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Beef_normal_1,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Beef_normal_2,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Beef_normal_3,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Beef_normal_4,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Beef_normal_5,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
BeetleFly_normal_1,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
BeetleFly_normal_2,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
BirdChicken_normal_1,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
BirdChicken_normal_2,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
CBF_normal_1,300,6,6,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CBF_normal_2,300,4,4,0,2,1.0,0.6666666666666666,0.8,0,0,0,0,0,0,0.8
CBF_normal_3,300,4,4,0,2,1.0,0.6666666666666666,0.8,0,0,0,0,0,0,0.8
Car_normal_1,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Car_normal_2,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
Car_normal_3,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Car_normal_4,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
Chinatown_normal_1,100,0,0,0,2,0.0,0.0,0.0,1,1,0,0,0,0,0.6666666666666666
Chinatown_normal_2,250,2,1,1,4,0.5,0.2,0.2857142857142857,1,1,0,0,0,0,0.5
ChlorineConcentration_normal_1,1000,9,6,3,14,0.6666666666666666,0.3,0.41379310344827586,1,0,1,0,0,0,0.4
ChlorineConcentration_normal_2,1000,12,12,0,8,1.0,0.6,0.75,1,1,0,0,0,0,0.7878787878787878
ChlorineConcentration_normal_3,2350,10,10,0,37,1.0,0.2127659574468085,0.3508771929824561,1,1,0,0,0,0,0.3793103448275862
